category;shortname;fullname
154;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI TJKT 2);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI TJKT 2)
154;BAHASA INDONESIA (XI TJKT 2);BAHASA INDONESIA (XI TJKT 2)
154;MATEMATIKA (XI TJKT 2);MATEMATIKA (XI TJKT 2)
154;BAHASA INGGRIS  (XI TJKT 2);BAHASA INGGRIS  (XI TJKT 2)
154;BAHASA MANDARIN (XI TJKT 2);BAHASA MANDARIN (XI TJKT 2)
154;PJOK (XI TJKT 2);PJOK (XI TJKT 2)
154;TEKNOLOGI JARINGAN BERBASIS LUAS (WAN) (XI TJKT 2);TEKNOLOGI JARINGAN BERBASIS LUAS (WAN) (XI TJKT 2)
154;ADMINISTRASI INFRASTRUKTUR JARINGAN (XI TJKT 2);ADMINISTRASI INFRASTRUKTUR JARINGAN (XI TJKT 2)
154;ADMINISTRASI SISTEM JARINGAN (XI TJKT 2);ADMINISTRASI SISTEM JARINGAN (XI TJKT 2)
154;TEKNOLOGI LAYANAN JARINGAN (XI TJKT 2);TEKNOLOGI LAYANAN JARINGAN (XI TJKT 2)
154;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI TJKT 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI TJKT 2)
155;PENDIDIKAN AGAMA ISLAM (XI TJKT 3);PENDIDIKAN AGAMA ISLAM (XI TJKT 3)
155;PENDIDIKAN AGAMA KRISTEN (XI TJKT 3);PENDIDIKAN AGAMA KRISTEN (XI TJKT 3)
155;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI TJKT 3);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI TJKT 3)
155;BAHASA INDONESIA (XI TJKT 3);BAHASA INDONESIA (XI TJKT 3)
155;MATEMATIKA (XI TJKT 3);MATEMATIKA (XI TJKT 3)
155;BAHASA INGGRIS  (XI TJKT 3);BAHASA INGGRIS  (XI TJKT 3)
155;BAHASA MANDARIN (XI TJKT 3);BAHASA MANDARIN (XI TJKT 3)
155;PJOK (XI TJKT 3);PJOK (XI TJKT 3)
155;TEKNOLOGI JARINGAN BERBASIS LUAS (WAN) (XI TJKT 3);TEKNOLOGI JARINGAN BERBASIS LUAS (WAN) (XI TJKT 3)
155;ADMINISTRASI INFRASTRUKTUR JARINGAN (XI TJKT 3);ADMINISTRASI INFRASTRUKTUR JARINGAN (XI TJKT 3)
155;ADMINISTRASI SISTEM JARINGAN (XI TJKT 3);ADMINISTRASI SISTEM JARINGAN (XI TJKT 3)
155;TEKNOLOGI LAYANAN JARINGAN (XI TJKT 3);TEKNOLOGI LAYANAN JARINGAN (XI TJKT 3)
155;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI TJKT 3);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI TJKT 3)
156;PENDIDIKAN AGAMA ISLAM (X DKV);PENDIDIKAN AGAMA ISLAM (X DKV)
156;PENDIDIKAN AGAMA KRISTEN (X DKV);PENDIDIKAN AGAMA KRISTEN (X DKV)
156;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X DKV);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X DKV)
156;BAHASA INDONESIA (X DKV);BAHASA INDONESIA (X DKV)
156;SEJARAH INDONESIA (X DKV);SEJARAH INDONESIA (X DKV)
156;BAHASA MANDARIN (X DKV);BAHASA MANDARIN (X DKV)
156;MATEMATIKA (X DKV);MATEMATIKA (X DKV)
156;BAHASA INGGRIS (X DKV);BAHASA INGGRIS (X DKV)
156;INFORMATIKA (X DKV);INFORMATIKA (X DKV)
156;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X DKV);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X DKV)
156;DASAR DASAR DKV (X DKV);DASAR DASAR DKV (X DKV)
